# T[yr] dE/E m1[MSun] x1[AU] y1[AU] z1[AU] vx1[2piAU/yr] vy1[2piAU/yr] vz1[2piAU/yr] m2[MSun] x2[AU] y2[AU] z2[AU] vx2[2piAU/yr] vy2[2piAU/yr] vz2[2piAU/yr]
0.0 0.0 1.0 -2.9391612119079763e-06 0.0 0.0 0.0 -3.0412649485101793e-06 0.0 2.99e-06 0.9829970608387881 0.0 0.0 0.0 1.017145467729157 0.0 
0.009999985050033525 0.008514502051385549 1.0 -2.9391612119079763e-06 -1.9108802672080798e-07 0.0 1.9442108916046303e-07 -3.0412649485101793e-06 0.0 2.99e-06 0.9829970608387881 0.06390903903705952 0.0 -0.06502377563895084 1.017145467729157 0.0 
0.01999997010006705 0.01698294491071014 1.0 -2.9269453928624233e-06 -3.8217605344161595e-07 0.0 3.876159668744777e-07 -3.0287044847270533e-06 0.0 2.99e-06 0.9789115026295732 0.12781807807411905 0.0 -0.12963744711520991 1.0129446437214225 0.0 
0.029999955150100573 0.02540243385806165 1.0 -2.9025907997935735e-06 -5.724748841273361e-07 0.0 5.787544616746248e-07 -3.0037472184310624e-06 0.0 2.99e-06 0.9707661537771151 0.19146317194894186 0.0 -0.19356336510857017 1.0045977319167432 0.0 
0.0399999402001341 0.03376919067066157 1.0 -2.8662266388573672e-06 -7.612056058683941e-07 0.0 7.670146150054623e-07 -2.96661686940924e-06 0.0 2.99e-06 0.9586042270425978 0.2545838146717037 0.0 -0.2565266270921278 0.9921795549863678 0.0 
0.04999992525016763 0.04207861722846762 1.0 -2.818033761311722e-06 -9.476033624629886e-07 0.0 9.515883822611925e-07 -2.9175982103728003e-06 0.0 2.99e-06 0.9424862077965627 0.31692420149263834 0.0 -0.31825698403384356 0.9757853546397324 0.0 
0.05999991030020115 0.05032536836523798 1.0 -2.7582437892786e-06 -1.1309211904797189e-06 0.0 1.13168768998617e-06 -2.857037293069238e-06 0.0 2.99e-06 0.922489561631639 0.3782345118661267 0.0 -0.3784908662161103 0.9555308672472367 0.0 
0.06999989535023468 0.05850343413961981 1.0 -2.6871378609215123e-06 -1.310433869527232e-06 0.0 1.3065507266837401e-06 -2.7853408337491444e-06 0.0 2.99e-06 0.8987083146894692 0.43827219716629834 0.0 -0.4369734871851973 0.9315521183107505 0.0 
0.0799998804002682 0.06660623125974387 1.0 -2.605044980360436e-06 -1.48544173391167e-06 0.0 1.4754483297583018e-06 -2.7029747062907747e-06 0.0 2.99e-06 0.8712525017927882 0.49680325548885285 0.0 -0.4934609798522748 0.9040049184918977 0.0 
0.08999986545030172 0.0746267029420846 1.0 -2.512339966283928e-06 -1.655274389614482e-06 0.0 1.6376903199962593e-06 -2.6104615154978056e-06 0.0 2.99e-06 0.8402474803625181 0.5536034747874522 0.0 -0.5477225150489161 0.8730640520059548 0.0 
